handle,platform,text,persona,received
lex.87,instagram,if you could only keep ONE of these which one,,2026-08-25T16:36:36.468Z
priya.beauty,instagram,"can you make me a routine but only 2 products, i will not do 8 steps",,2026-08-25T15:50:25.441Z
dani_x,tiktok,"can you make me a routine but only 2 products, i will not do 8 steps",,2026-08-25T13:23:47.942Z
jen.87,instagram,i've got £26 and that's genuinely it. what do i buy,,2026-08-25T12:57:32.090Z
roisinxo,tiktok,can you send me the one you would buy if you were me,,2026-08-25T04:49:09.905Z
hen.87,instagram,"student budget, sorry. i've screenshotted your whole shelf and i'm working through it",,2026-08-25T04:45:50.606Z
noor.face,tiktok,is it worth saving for the Soft Clean or is the cheap one fine,,2026-08-25T02:39:56.407Z
ola92,tiktok,the Clear Wash is £20 which is a whole week of food for me. talk me through it sorry this is long.,,2026-08-24T21:49:24.400Z
kayleigh92,instagram,i've read everything and i'm more confused than when i started. just pick for me,,2026-08-24T20:02:57.258Z
gracie.face,instagram,saved your last one. buying the SPF 50 on payday sorry this is long.,,2026-08-24T19:38:09.469Z
jen.skin,tiktok,"combination skin, mid twenties. i don't even know what my skin type is honestly",,2026-08-24T18:55:54.202Z
priya.does.makeup,tiktok,Hi Maya! 💕 We'd love to send you our new serum line for an honest review — just 3 in-feed posts and 3 stories. Shall I send the deck?,,2026-08-24T18:51:17.656Z
fern_uk,tiktok,"oily t-zone, dry everywhere else. what's the one thing worth buying if i buy nothing else",,2026-08-24T15:46:02.959Z
priyaldn,tiktok,i've got a wedding in a month. i do not want options i want one thing. what is it,,2026-08-24T13:00:18.409Z
sade.face,tiktok,Hi! I'm reaching out from a talent agency — would you be open to a quick call about representation?,,2026-08-24T10:28:38.022Z
lex.skin,tiktok,"london, hard water, if that matters. the Clear Wash is £20 which is a whole week of food for me. talk me through it",,2026-08-24T09:08:58.248Z
kayleighldn,tiktok,what's the one thing worth buying if i buy nothing else,,2026-08-24T05:47:14.473Z
moss,instagram,"student budget, sorry. the Red Reset or the Soft Clean? i want your answer not a list",,2026-08-24T04:49:27.832Z
kayleigh_uk,instagram,i've got a wedding in a month. every time i try something new my face freaks out. where do i even start,,2026-08-24T02:32:52.864Z
lily.skin,tiktok,Hi! I'm reaching out from a talent agency — would you be open to a quick call about representation?,,2026-08-23T15:30:52.755Z
ruthss,tiktok,i already have the Clear Wash. do i need the Red Reset too or is that overkill,,2026-08-23T01:27:41.744Z
gracie.and.co,instagram,can you send me the one you would buy if you were me i know you get a million of these.,,2026-08-23T00:35:25.182Z
cleo_x,instagram,"too many choices. dry skin, £38, go",,2026-08-22T22:18:16.688Z
beaxo,instagram,🔥 GROW TO 50K FOLLOWERS IN 30 DAYS ✅ real uk accounts ✅ no password ✅ dm BOOST,,2026-08-22T11:26:59.049Z
nia_london,instagram,🔥 GROW TO 250K FOLLOWERS IN 30 DAYS ✅ real uk accounts ✅ no password ✅ dm BOOST,,2026-08-22T02:24:31.228Z
lily.notes,instagram,dry and flaky since october. i trust you but i am not spending £100 on a serum. what else is there,,2026-08-21T17:14:10.883Z
